,Factor0,Factor1,individual importance,individual lower quartile,individual median,individual std,individual upper quartile,individual whiskerhi,individual whiskerlo,total importance,total lower quartile,total median,total std,total upper quartile,total whiskerhi,total whiskerlo
0,compare_distance,compare_distance,0.022031331734534032,0.004477823418756275,0.007502210325065385,0.028238418931751684,0.02759788123608472,0.042624574532804264,0.0016176466145569534,0.022031331734534032,0.004477823418756275,0.007502210325065385,0.028238418931751684,0.02759788123608472,0.042624574532804264,0.0016176466145569534
1,compare_distance,compare_dryness,0.01022577214817777,0.003866693938339272,0.008565852734652237,0.00843750171427485,0.014646332398613654,0.01740288891531312,0.0005521186471043533,0.0483311661526859,0.026485648815750128,0.03909681107017105,0.03538423456585156,0.06073320820749652,0.05875587806402538,0.0077109834681309206
2,compare_distance,compare_quality,0.02445398480791184,0.005879707573265077,0.013960698104422513,0.027331919937138065,0.028370680337527716,0.06179953863403057,0.0047359646553700495,0.12814026663562056,0.07830166915753792,0.12382346445699582,0.06829883436097495,0.17716564268747034,0.16672345617346884,0.01977102760317856
3,compare_distance,compare_water_availability,0.006714160546624709,0.0008603298286228265,0.0033305565941241576,0.007426953573703468,0.010625673865748343,0.022887601539728436,0.00010864275940880373,0.03449288534401462,0.013510713554387495,0.0223868405893059,0.03662893319470272,0.036680034167339684,0.041376476605040916,0.004830242294855027
4,compare_distance,compare_yeild,0.003325154213937398,0.0009424416870140721,0.0028279175025679856,0.0027574276207939963,0.004440271228491706,0.0072170442948304514,0.000271003450961811,0.03471446514314236,0.0192025926495509,0.02451964718684324,0.027837817251273527,0.04235679338657074,0.03668400333773483,0.00555687582124677
5,compare_distance,desire_migration,0.014180263549323146,0.003323675386091867,0.011298892947908378,0.012383098708334544,0.0200586048340794,0.041505714279776694,0.001525888265558875,0.06006268166780373,0.042334137371474775,0.05091919778882421,0.03356989172856964,0.07885030052238588,0.06371353612138615,0.01590268975353983
6,compare_distance,desire_social_presence,0.0022870511726975316,0.0005647294597938498,0.0011352460593765318,0.0021891170544668472,0.0038187601204795066,0.008245093326143331,7.494464645235892e-05,0.028571569683691886,0.01127560777218925,0.016154673664466695,0.029248827803337724,0.0333472964327272,0.030286079990949063,0.0019735542595340225
7,compare_distance,homophily_age,0.009774979699730565,0.0006141735437195642,0.0027069512181472537,0.01641415009964949,0.00720360213522909,0.009651660626176561,0.00045508796852198984,0.04034957158914528,0.010796320805145806,0.018284039874462414,0.043693249191873125,0.053604923372835865,0.04348355077722401,0.00571951336396159
8,compare_distance,homophily_agricultural_productivity,0.002285320071500882,0.0006203382295483935,0.0012108622099936477,0.002542082247250579,0.0026276267411693374,0.004786710942321568,0.00011812437653070775,0.030993522764732894,0.010508708121484186,0.020286147260183025,0.029187967778255913,0.03728349578563622,0.041022756275762955,0.0020481376534585037
9,compare_dryness,compare_dryness,0.016074062269974106,0.00239160086230378,0.011850827884508325,0.016866925852255573,0.02257465356599467,0.03650079936743424,0.0009646012383460616,0.016074062269974106,0.00239160086230378,0.011850827884508325,0.016866925852255573,0.02257465356599467,0.03650079936743424,0.0009646012383460616
10,compare_dryness,compare_quality,0.02996965838925256,0.015341026502613521,0.02554622003533584,0.02022735186925019,0.03976283789162749,0.05841256573412717,0.004299578499391297,0.12769867075240135,0.07662703672086678,0.12612259663187111,0.05196936687654459,0.174806579148901,0.17563369477264631,0.04720708856880687
11,compare_dryness,compare_water_availability,0.0033671632310265666,0.0011569123470534658,0.001845991263781887,0.0036785308640417645,0.0038811751973083924,0.006917831155346789,0.0002841171315757383,0.025188618563856555,0.01070875717151749,0.01907733984672103,0.018740015508135803,0.03575465811640556,0.037168914471658474,0.004625740144549186
12,compare_dryness,compare_yeild,0.004927564241449928,0.0024934940820540183,0.004282122997518954,0.003100055442945261,0.007077426173744884,0.011540865254442258,0.0005267718347459286,0.030359605706094965,0.016502368459467433,0.026094472934021066,0.018920075374703395,0.035722738418487526,0.03460102416761936,0.006191959590059364
13,compare_dryness,desire_migration,0.01744522230730954,0.007113127278977817,0.010052813035510557,0.014770872874124964,0.02375867775896847,0.04144125932893857,0.003969408904127998,0.057370370961230197,0.032219327443762304,0.04477372544072643,0.042270718141883865,0.0687552109264643,0.07832051107136134,0.012926397375536943
14,compare_dryness,desire_social_presence,0.0037793437612318116,0.001103455493573648,0.002467748936504848,0.003482583031608677,0.005768103454897934,0.01267427116876731,0.000182137501416142,0.024106592807666236,0.011697926759121985,0.020169181634977777,0.01810004844911785,0.03226786320023695,0.03262655116455211,0.0020257054047979253
15,compare_dryness,homophily_age,0.0034101439745580445,0.0010707312933165066,0.0022348529862842408,0.0032834670708212677,0.004439788981827595,0.007808448298352354,0.0004314041801890612,0.02802746639941283,0.012907246017793337,0.016372730267205902,0.02164485009921154,0.041499973047756336,0.04688972949307126,0.004137190173334248
16,compare_dryness,homophily_agricultural_productivity,0.001791056281375669,0.00047524320561204684,0.001518157642219852,0.001820411238180412,0.0018203542252803082,0.002598222371270666,0.000251654177163205,0.024541989510047754,0.010807773712664455,0.017079824452774048,0.018280457509586023,0.035285761112966156,0.034154300866751634,0.0027543135645509667
17,compare_quality,compare_quality,0.08165495009317468,0.03366308387414904,0.08056384623581314,0.058195306734177984,0.10103861252993596,0.18412594681555897,0.00326188242954033,0.08165495009317468,0.03366308387414904,0.08056384623581314,0.058195306734177984,0.10103861252993596,0.18412594681555897,0.00326188242954033
18,compare_quality,compare_water_availability,0.010431827403912814,0.0035091545883449865,0.005983943775927578,0.011888102623554166,0.011847150226515762,0.017507967614310026,0.0007309782901942298,0.09783417055994338,0.04442047019345959,0.08578799809415298,0.06164178270825381,0.14554324632266719,0.1468864103566305,0.006609064119133475
19,compare_quality,compare_yeild,0.009564513236060473,0.004374067248320236,0.006697413511346225,0.009117953768980497,0.009312253995702506,0.01418948674368692,0.0015900392685582313,0.1005774425239061,0.04322556986542813,0.0990551332964886,0.061368886098236264,0.13604261679217233,0.12763329596494657,0.023879061218505776
20,compare_quality,desire_migration,0.04301056165516386,0.01028927127468723,0.016790288144757075,0.056669074764961816,0.04493433339865281,0.06718365359871743,0.0024289631667251395,0.14851659813228507,0.09395715087626932,0.12072528312617899,0.09228077810630202,0.1758651186608255,0.16399916849834228,0.03842837209567518
21,compare_quality,desire_social_presence,0.006097074185767934,0.0011217853215728375,0.0027409265064467924,0.010098223842082898,0.003441935028182422,0.004958186897185053,0.00038718305309706346,0.09200521105540294,0.04372062040123917,0.08617265496473714,0.05907010988886773,0.10725869348389684,0.09074176132323808,0.012288445769250141
22,compare_quality,homophily_age,0.006004578802567797,0.0029537058544298086,0.003532941468713571,0.006379772215553977,0.005397338523099241,0.008359316866046233,0.0009486216419753855,0.09620278905062317,0.06680228726394896,0.08799631288734336,0.0559690172021719,0.12474934838503157,0.08968286302013348,0.010545759693817016
23,compare_quality,homophily_agricultural_productivity,0.005941322863145996,0.001957883034995396,0.0022546878161808525,0.0068997828579489915,0.006410076859513513,0.00942885984624074,0.0003093713041249455,0.09427314391501866,0.043779538734024175,0.08826381335116293,0.05880739158645297,0.12257230407855224,0.11346783207752648,0.010077914660985506
24,compare_water_availability,compare_water_availability,0.0057473930628558784,0.0016902942771431962,0.005898307574545446,0.004794170530121152,0.006934531227210719,0.014171691803034661,0.0002265493670263249,0.0057473930628558784,0.0016902942771431962,0.005898307574545446,0.004794170530121152,0.006934531227210719,0.014171691803034661,0.0002265493670263249
25,compare_water_availability,compare_yeild,0.001378774280163068,0.0003865336124726391,0.0008801617681929279,0.001121954353720845,0.0022279682872667367,0.003200058726588984,4.056127668233134e-05,0.016484146537689877,0.011283902577507035,0.016963684785760887,0.008311640442699551,0.020025416322005263,0.011780647790489023,0.00262644937682285
26,compare_water_availability,desire_migration,0.006358498958300363,0.0020529054511315746,0.004474917881164855,0.004692629071230234,0.009959561003843211,0.017032051011905455,0.0008374619492941771,0.035956978405102785,0.021794093517126252,0.029168384084139246,0.0265513035643111,0.032721308933955806,0.025308398466323434,0.008335887628968275
